Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,without concrete shoulders,80,0,150,0.3,0.8237,0.7837
Single,without concrete shoulders,80,0,150,0.35,0.9247,0.5223
Single,without concrete shoulders,80,0,150,0.4,1.0221,0.3512
Single,without concrete shoulders,80,0,300,0.15,0.4119,3.1869
Single,without concrete shoulders,80,0,300,0.2,0.511,1.7326
Single,without concrete shoulders,80,0,300,0.25,0.6041,1.0643
Single,without concrete shoulders,80,0,300,0.3,0.6927,0.705
Single,without concrete shoulders,80,0,300,0.35,0.7775,0.4912
Single,without concrete shoulders,80,0,300,0.4,0.8594,0.3548
Single,without concrete shoulders,80,10,40,0.15,0.6816,4.4238
Single,without concrete shoulders,80,10,40,0.2,0.8457,2.5084
Single,without concrete shoulders,80,10,40,0.25,0.9998,1.617
Single,without concrete shoulders,80,10,40,0.3,1.1463,1.129
Single,without concrete shoulders,80,10,40,0.35,1.2867,0.8318
Single,without concrete shoulders,80,10,40,0.4,1.4223,0.6365
Single,without concrete shoulders,80,10,80,0.15,0.5731,4.446
Single,without concrete shoulders,80,10,80,0.2,0.7111,2.534
Single,without concrete shoulders,80,10,80,0.25,0.8407,1.6455
Single,without concrete shoulders,80,10,80,0.3,0.9639,1.1603
Single,without concrete shoulders,80,10,80,0.35,1.082,0.8656
Single,without concrete shoulders,80,10,80,0.4,1.196,0.6727
Single,without concrete shoulders,80,10,150,0.15,0.4898,4.1569
Single,without concrete shoulders,80,10,150,0.2,0.6077,2.4591
Single,without concrete shoulders,80,10,150,0.25,0.7184,1.6704
Single,without concrete shoulders,80,10,150,0.3,0.8237,1.2397
Single,without concrete shoulders,80,10,150,0.35,0.9247,0.9783
Single,without concrete shoulders,80,10,150,0.4,1.0221,0.8072
Single,without concrete shoulders,80,10,300,0.15,0.4119,3.7719
Single,without concrete shoulders,80,10,300,0.2,0.511,2.3176
Single,without concrete shoulders,80,10,300,0.25,0.6041,1.6493
Single,without concrete shoulders,80,10,300,0.3,0.6927,1.29
Single,without concrete shoulders,80,10,300,0.35,0.7775,1.0762
Single,without concrete shoulders,80,10,300,0.4,0.8594,0.9398
Single,without concrete shoulders,80,15,40,0.15,0.6816,4.5723
Single,without concrete shoulders,80,15,40,0.2,0.8457,2.6569
Single,without concrete shoulders,80,15,40,0.25,0.9998,1.7655
Single,without concrete shoulders,80,15,40,0.3,1.1463,1.2775
Single,without concrete shoulders,80,15,40,0.35,1.2867,0.9803
Single,without concrete shoulders,80,15,40,0.4,1.4223,0.785
Single,without concrete shoulders,80,15,80,0.15,0.5731,4.5945
Single,without concrete shoulders,80,15,80,0.2,0.7111,2.6825
Single,without concrete shoulders,80,15,80,0.25,0.8407,1.794
Single,without concrete shoulders,80,15,80,0.3,0.9639,1.3088
Single,without concrete shoulders,80,15,80,0.35,1.082,1.0141
Single,without concrete shoulders,80,15,80,0.4,1.196,0.8212
Single,without concrete shoulders,80,15,150,0.15,0.4898,4.3849
