Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,without concrete shoulders,80,13,40,0.35,1.2867,0.9209
Single,without concrete shoulders,80,13,40,0.4,1.4223,0.7256
Single,without concrete shoulders,80,13,80,0.15,0.5731,4.5351
Single,without concrete shoulders,80,13,80,0.2,0.7111,2.6231
Single,without concrete shoulders,80,13,80,0.25,0.8407,1.7346
Single,without concrete shoulders,80,13,80,0.3,0.9639,1.2494
Single,without concrete shoulders,80,13,80,0.35,1.082,0.9547
Single,without concrete shoulders,80,13,80,0.4,1.196,0.7618
Single,without concrete shoulders,80,13,150,0.15,0.4898,4.2937
Single,without concrete shoulders,80,13,150,0.2,0.6077,2.5959
Single,without concrete shoulders,80,13,150,0.25,0.7184,1.8072
Single,without concrete shoulders,80,13,150,0.3,0.8237,1.3765
Single,without concrete shoulders,80,13,150,0.35,0.9247,1.1151
Single,without concrete shoulders,80,13,150,0.4,1.0221,0.944
Single,without concrete shoulders,80,13,300,0.15,0.4119,3.9474
Single,without concrete shoulders,80,13,300,0.2,0.511,2.4931
Single,without concrete shoulders,80,13,300,0.25,0.6041,1.8248
Single,without concrete shoulders,80,13,300,0.3,0.6927,1.4655
Single,without concrete shoulders,80,13,300,0.35,0.7775,1.2517
Single,without concrete shoulders,80,13,300,0.4,0.8594,1.1153
Single,without concrete shoulders,80,17,40,0.15,0.6816,4.6317
